product_name,product_id,url,image,price,scraped_at
Stretch Face Brush,8097737670901,https://www.glossier.com/en-lt/products/stretch-face-brush,https://www.glossier.com/cdn/shop/files/glossier-makeup-stretch-face-brush-carousel-01_271x.png?v=1762200600,"€32,95",2026-04-20T20:39:45
Skywash,8035307520245,https://www.glossier.com/en-lt/products/skywash,https://www.glossier.com/cdn/shop/files/glossier-makeup-skywash-pool-carousel-01_271x.png?v=1762200269,"€20,95",2026-04-20T20:39:47
Milky Jelly Cleansing Balm,9002627596533,https://www.glossier.com/en-lt/products/milky-jelly-cleansing-balm,https://www.glossier.com/cdn/shop/files/glossier-mjc-balm-carousel-01_271x.png?v=1762201805,"€27,95",2026-04-20T20:39:48
Pro Tip,8035304603893,https://www.glossier.com/en-lt/products/pro-tip,https://www.glossier.com/cdn/shop/files/glossier-makeup-pro-tip-carousel-01_271x.png?v=1762200209,"€24,95",2026-04-20T20:39:49
Invisible Shield SPF50,8353877491957,https://www.glossier.com/en-lt/products/invisible-shield-spf50-eu,https://www.glossier.com/cdn/shop/files/glossier-skincare-spf-carousel-01_830a9c74-c395-4955-855c-fc9c358d2f8f_271x.png?v=1762201092,"€37,95",2026-04-20T20:39:50
Brow Flick,8035306242293,https://www.glossier.com/en-lt/products/brow-flick,https://www.glossier.com/cdn/shop/files/glossier-brow-flick-carousel-01_271x.png?v=1762200245,"€20,95",2026-04-20T20:39:52
Super Glow,8035305259253,https://www.glossier.com/en-lt/products/super-glow,https://www.glossier.com/cdn/shop/files/glossier-skincare-super-glow-carousel-01_271x.png?v=1762200224,"€39,95",2026-04-20T20:39:54
Super Bounce,8035305488629,https://www.glossier.com/en-lt/products/super-bounce,https://www.glossier.com/cdn/shop/products/glossier-super-bounce-carousel-01_76a56806-4efa-4df0-9beb-2f030da73fa3_271x.png?v=1762200229,"€39,95",2026-04-20T20:39:55
Super Pure,8035304898805,https://www.glossier.com/en-lt/products/super-pure,https://www.glossier.com/cdn/shop/files/glossier-skincare-super-pure-carousel-01_271x.png?v=1762200217,"€39,95",2026-04-20T20:39:55
Futuredew Solid,8989311336693,https://www.glossier.com/en-lt/products/futuredew-solid,https://www.glossier.com/cdn/shop/files/glossier-futuredew-solid-carousel-01_271x.png?v=1762201781,"€30,95",2026-04-20T20:39:57
Birthday Cake Candle,8784192995573,https://www.glossier.com/en-lt/products/birthday-cake-candle,https://www.glossier.com/cdn/shop/files/glossier-birthday-candle-carousel-01_271x.png?v=1762201532,"€58,95",2026-04-20T20:39:58
Flush Glow Duo,9093514166517,https://www.glossier.com/en-lt/products/flush-glow-duo,https://www.glossier.com/cdn/shop/files/glossier-flushglowduo-pdp-carousel-01_271x.png?v=1762268474,"€48,95",2026-04-20T20:40:01
Universal Pro-Retinol,8035305292021,https://www.glossier.com/en-lt/products/universal-pro-retinol,https://www.glossier.com/cdn/shop/files/glossier-skincare-pro-retinol-carousel-01_271x.png?v=1762200225,"€46,95",2026-04-20T20:40:02
Deodorant Refillable Case,8035306766581,https://www.glossier.com/en-lt/products/deodorant-refillable-case,https://www.glossier.com/cdn/shop/products/glossier-deo-refill-case-carousel-01-update_271x.png?v=1762200253,"€5,95",2026-04-20T20:40:03
Deodorant Refill Stick,8035307258101,https://www.glossier.com/en-lt/products/deodorant-refill-stick,https://www.glossier.com/cdn/shop/products/glossier-deorefill-unscented-carousel-01_271x.png?v=1765390004,"€20,95",2026-04-20T20:40:04
Solution,8284280193269,https://www.glossier.com/en-lt/products/solution,https://www.glossier.com/cdn/shop/files/glossier-skincare-solution-carousel-01_271x.png?v=1762201015,"€34,95",2026-04-20T20:40:06
Lidstar,8035307651317,https://www.glossier.com/en-lt/products/lidstar,https://www.glossier.com/cdn/shop/files/glossier-lidstar-herb-01_271x.png?v=1762200271,"€23,95",2026-04-20T20:40:09
Body Hero Exfoliating Bar,8035305324789,https://www.glossier.com/en-lt/products/body-hero-exfoliating-bar,https://www.glossier.com/cdn/shop/products/glossier-body-exfoliating-carousel-01_271x.png?v=1762200225,"€20,95",2026-04-20T20:40:14
Glossier You Solid Refill,8035305193717,https://www.glossier.com/en-lt/products/glossier-you-solid-refill,https://www.glossier.com/cdn/shop/files/glossier-fragrance-you-solidrefill-01_271x.png?v=1762200222,"€29,95",2026-04-20T20:40:16
Sharpener,8463593275637,https://www.glossier.com/en-lt/products/sharpener,https://www.glossier.com/cdn/shop/files/glossier-carousel-lipline-sharpener-01_271x.png?v=1762201232,"€10,95",2026-04-20T20:40:17
Terrazzo Hoodie,7774947967221,https://www.glossier.com/en-lt/products/terrazzo-hoodie,https://www.glossier.com/cdn/shop/files/glossier-terrazzo-hoodie-carousel-01_271x.png?v=1762199584,"€75,95",2026-04-20T20:40:18
Limited Edition Embroidered Cream Hoodie,8059543847157,https://www.glossier.com/en-lt/products/limited-edition-embroidered-cream-hoodie,https://www.glossier.com/cdn/shop/files/glossier-creamhoodie-carousel-01_271x.png?v=1762200429,"€75,95",2026-04-20T20:40:19
Three Eyed Smiley Mug,8878914076917,https://www.glossier.com/en-lt/products/three-eyed-smiley-mug,https://www.glossier.com/cdn/shop/files/glossier-mug-carousel-01_271x.png?v=1762201666,"€20,95",2026-04-20T20:40:20
Glossier Sweatshirt,8035307454709,https://www.glossier.com/en-lt/products/glossier-sweatshirt,https://www.glossier.com/cdn/shop/products/glossier-greysweatshirt-carousel-01-updated_271x.png?v=1762200267,"€63,95",2026-04-20T20:40:20
Field Greens Blanket,7774946722037,https://www.glossier.com/en-lt/products/field-greens-blanket,https://www.glossier.com/cdn/shop/files/glossier-field-greensblanket-carousel-01_271x.png?v=1762199572,"€75,95",2026-04-20T20:40:21
Glossier Utility Bag,8511286575349,https://www.glossier.com/en-lt/products/glossier-utility-bag,https://www.glossier.com/cdn/shop/files/glossier-carousel-utilitybag-01_271x.png?v=1762201240,"€63,95",2026-04-20T20:40:23
Duffle Bag,8081166794997,https://www.glossier.com/en-lt/products/duffle-bag,https://www.glossier.com/cdn/shop/files/glossier-dufflebag-carousel-01_271x.png?v=1762200544,"€63,95",2026-04-20T20:40:23
Classic Cap,8878915322101,https://www.glossier.com/en-lt/products/classic-cap,https://www.glossier.com/cdn/shop/files/glossier-denimcap-carousel-01_271x.png?v=1762201667,"€34,95",2026-04-20T20:40:24
Monochromes,8035307716853,https://www.glossier.com/en-lt/products/monochromes,https://www.glossier.com/cdn/shop/products/glossier-monochromes-clay-carousel-01_271x.png?v=1762200271,"€25,95",2026-04-20T20:40:26
Blush Duo,9317648990453,https://www.glossier.com/en-lt/products/blush-duo,https://www.glossier.com/cdn/shop/files/glossier-cloud-paint-set-carousel-01_271x.png?v=1756957907,"€46,95",2026-04-20T20:40:28
Pillowy Soft Duo,9317649416437,https://www.glossier.com/en-lt/products/pillowy-soft-duo,https://www.glossier.com/cdn/shop/files/glossier-cppb-ul-set-carousel-01_271x.png?v=1756957869,"€44,95",2026-04-20T20:40:31
Full Body Routine,9119288197365,https://www.glossier.com/en-lt/products/full-body-routine,https://www.glossier.com/cdn/shop/files/glossier-body-trio-carousel-01_271x.png?v=1762268537,"€84,95",2026-04-20T20:40:32
Spritz Duo,9119299436789,https://www.glossier.com/en-lt/products/spritz-duo,https://www.glossier.com/cdn/shop/files/glossier-spritz-duo-carousel-01_271x.png?v=1762268538,"€64,95",2026-04-20T20:40:35
Daily Body Duo,9119281905909,https://www.glossier.com/en-lt/products/body-hero-duo,https://www.glossier.com/cdn/shop/files/glossier-body-sandstone-set-carousel-01_271x.png?v=1753197780,"€58,95",2026-04-20T20:40:36
In Your Bag Duo,9151061197045,https://www.glossier.com/en-lt/products/in-your-bag-duo,https://www.glossier.com/cdn/shop/files/bdc-8ml-carousel-01_271x.png?v=1772202910,"€49,95",2026-04-20T20:40:39
The Dewy Look,8262396510453,https://www.glossier.com/en-lt/products/the-dewy-look,https://www.glossier.com/cdn/shop/files/glossier-cp-futuredew-carousel-01_1f273112-06ad-4921-993c-9708b319d9da_271x.png?v=1762200976,"€49,95",2026-04-20T20:40:44
Crème de You + Glossier You,9110245540085,https://www.glossier.com/en-lt/products/creme-de-you-you-50ml,https://www.glossier.com/cdn/shop/files/glossier-cremedeyou-you-edp-carousel-01_271x.png?v=1762268500,"€106,95",2026-04-20T20:40:45
The Complete Body Hero Collection,8307696959733,https://www.glossier.com/en-lt/products/the-complete-body-hero-collection,https://www.glossier.com/cdn/shop/files/glossier-bodyhero-complete-carousel-01_271x.png?v=1762201035,"€106,95",2026-04-20T20:40:46
Fleur + You,9054160290037,https://www.glossier.com/en-lt/products/fleur-you,https://www.glossier.com/cdn/shop/files/glossier-you-fleur-50ml-carousel-01_271x.png?v=1762202055,"€161,95",2026-04-20T20:40:48
Fleur + You Travel Spray,9054162321653,https://www.glossier.com/en-lt/products/fleur-you-travel-spray,https://www.glossier.com/cdn/shop/files/glossier-fleur5ml-you8ml-carousel-01_271x.png?v=1762202055,"€112,95",2026-04-20T20:40:49
Lip Line + Ultralip,9011109789941,https://www.glossier.com/en-lt/products/lip-line-ultralip,https://www.glossier.com/cdn/shop/files/glossier-ultralip-lipline-carousel-01_271x.png?v=1762201827,"€39,95",2026-04-20T20:40:50
Doux + You Travel Spray,8853894791413,https://www.glossier.com/en-lt/products/doux-you-travel-spray,https://www.glossier.com/cdn/shop/files/glossier-8ml-you-doux-carousel-01_271x.png?v=1762201616,"€112,95",2026-04-20T20:40:51
Rêve + You Travel Spray,8853889220853,https://www.glossier.com/en-lt/products/reve-you-travel-spray,https://www.glossier.com/cdn/shop/files/glossier-8ml-you-reve-carousel-01_271x.png?v=1762201616,"€112,95",2026-04-20T20:40:53
Care Package,9042584371445,https://www.glossier.com/en-lt/products/care-package,https://www.glossier.com/cdn/shop/files/glossier-handcream-bdc-original-carousel-01_271x.png?v=1772200522,"€37,95",2026-04-20T20:40:54
Lash Slick Duo,8035305029877,https://www.glossier.com/en-lt/products/lash-slick-duo,https://www.glossier.com/cdn/shop/files/glossier-lash-slick-duo-carousel-01_271x.png?v=1762200219,"€41,95",2026-04-20T20:40:55
Glossier Brow Duo,8734519099637,https://www.glossier.com/en-lt/products/glossier-brow-duo,https://www.glossier.com/cdn/shop/files/glossier-bba-set-carousel-01a_271x.png?v=1762201401,"€45,95",2026-04-20T20:40:57
The Super Pack,8035305226485,https://www.glossier.com/en-lt/products/super-pack,https://www.glossier.com/cdn/shop/files/glossier-serum-trio-carousel-01_271x.png?v=1762200224,"€102,95",2026-04-20T20:40:57
Priming Moisturizer Balance,8035304702197,https://www.glossier.com/en-lt/products/priming-moisturizer-balance,https://www.glossier.com/cdn/shop/files/glossier-skincare-pmb-carousel-01_271x.png?v=1762200212,"€30,95",2026-04-20T20:40:58
Milky Oil,8035305357557,https://www.glossier.com/en-lt/products/milky-oil,https://www.glossier.com/cdn/shop/files/glossier-skincare-milky-oil-carousel-01_271x.png?v=1762200227,"€20,95",2026-04-20T20:41:00
Priming Moisturizer Rich,8035306012917,https://www.glossier.com/en-lt/products/priming-moisturizer-rich,https://www.glossier.com/cdn/shop/files/glossier-skincare-priming-moisturizer-rich-carousel-1_271x.png?v=1762200241,"€40,95",2026-04-20T20:41:01
Eyeshadow Brush,8035306111221,https://www.glossier.com/en-lt/products/eyeshadow-brush,https://www.glossier.com/cdn/shop/files/glossier-makeup-eyeshadow-brush-carousel-01_271x.png?v=1762200242,"€20,95",2026-04-20T20:41:03
Mini Laptop Mirror,9084363505909,https://www.glossier.com/en-lt/products/mini-laptop-mirror,https://www.glossier.com/cdn/shop/files/glossier-mirror-carousel-01_271x.png?v=1762202179,"€18,95",2026-04-20T20:41:04
Water Bottle,8081161027829,https://www.glossier.com/en-lt/products/water-bottle,https://www.glossier.com/cdn/shop/files/glossier-waterbottle-carousel-01_89aca6a5-75ef-471f-8e03-1197e2aeb13a_271x.png?v=1762200543,"€32,95",2026-04-20T20:41:05
Bandana,8598389358837,https://www.glossier.com/en-lt/products/bandana,https://www.glossier.com/cdn/shop/files/glossier-summer-capsule-bandana-carousel-01_271x.png?v=1762201294,"€13,95",2026-04-20T20:41:11
Wowder,8035307487477,https://www.glossier.com/en-lt/products/wowder,https://www.glossier.com/cdn/shop/files/glossier-makeup-wowder-g1-g3-carousel-01_271x.png?v=1762200267,"€27,95",2026-04-20T20:41:13
Cloud Paint Cheek Brush,9315806183669,https://www.glossier.com/en-lt/products/cloud-paint-cheek-brush,https://www.glossier.com/cdn/shop/files/glossier-cloudpaint-brush-carousel-1_271x.png?v=1757006094,"€29,95",2026-04-20T20:41:15
Haloscope,8035305423093,https://www.glossier.com/en-lt/products/haloscope,https://www.glossier.com/cdn/shop/files/glossier-makeup-haloscope-moonstone-01_271x.png?v=1762200228,"€25,95",2026-04-20T20:41:17
Milky Jelly Cleanser,44415832752373,https://www.glossier.com/en-lt/products/milky-jelly-cleanser?variant=44415832752373,"https://glossier-prod.imgix.net/files/glossier-skincare-mjc177ml-carousel-1.png?auto=compress,format&cs=srgb","€27,95 EUR",2026-04-20T20:41:18
Milky Jelly Cleanser,44415832785141,https://www.glossier.com/en-lt/products/milky-jelly-cleanser?variant=44415832785141,"https://glossier-prod.imgix.net/files/glossier-mjc-60ml-01.png?auto=compress,format&cs=srgb","€16,95 EUR",2026-04-20T20:41:18
Wavy Tray,8784198795509,https://www.glossier.com/en-lt/products/wavy-tray,https://www.glossier.com/cdn/shop/files/glossier-wavytray-carousel-01_271x.png?v=1762201533,"€23,95",2026-04-20T20:41:18
You Look Good Cap,8046533247221,https://www.glossier.com/en-lt/products/you-look-good-cap,https://www.glossier.com/cdn/shop/files/glossier-ylgcap-carousel-01_271x.png?v=1762200359,"€34,95",2026-04-20T20:41:19
Plush Brush Duo,9317648171253,https://www.glossier.com/en-lt/products/plush-brush-duo,https://www.glossier.com/cdn/shop/files/glossier-cloudpaint-brush-set-carousel-01_271x.png?v=1756957954,"€59,95",2026-04-20T20:41:19
Monochromes Refill,8035307618549,https://www.glossier.com/en-lt/products/monochromes-refill,https://www.glossier.com/cdn/shop/files/glossier-monochromes-refill-clay-carousel-01_271x.png?v=1762200270,"€20,95",2026-04-20T20:41:19
You + You Travel Spray,8349789815029,https://www.glossier.com/en-lt/products/more-of-you-duo,https://www.glossier.com/cdn/shop/files/glossier-you50ml-you8ml-carousel-01_271x.png?v=1774466765,"€112,95",2026-04-20T20:41:19
Chrome Mirror,9513538486517,https://www.glossier.com/en-lt/products/chrome-mirror,https://www.glossier.com/cdn/shop/files/glossier-chrome-mirror-carousel-01_271x.png?v=1774381424,"€27,95",2026-04-20T20:41:20
